userId,event,timestamp,vin,condition,year,make,model,price,mileage
553320031,visit market report,2016-09-20 18:40:28.000000,W04GN5EC6B1085689,Used,2011,Buick,Regal,0.0000,68550
553319893,visit market report,2016-09-20 14:47:05.000000,W04GN5EC6B1085689,Used,2011,Buick,Regal,0.0000,68550
553319893,visit market report,2016-09-20 14:47:05.000000,W04GN5EC6B1085689,Used,2011,Buick,Regal,0.0000,68550
553319893,display alternatives,2016-09-20 14:47:05.000000,W04GN5EC6B1085689,Used,2011,Buick,Regal,0.0000,68550
553320031,visit market report,2016-09-20 18:40:27.000000,W04GN5EC6B1085689,Used,2011,Buick,Regal,0.0000,68550
553320031,display alternatives,2016-09-20 18:40:27.000000,W04GN5EC6B1085689,Used,2011,Buick,Regal,0.0000,68550
553319893,display alternatives,2016-09-20 14:47:05.000000,W04GN5EC6B1085689,Used,2011,Buick,Regal,0.0000,68550
553319818,visit market report,2016-09-20 12:49:46.000000,2CNDL73F256014431,Used,2005,Chevrolet,Equinox,7450.0000,101339
553319818,display alternatives,2016-09-20 12:49:46.000000,2CNDL73F256014431,Used,2005,Chevrolet,Equinox,7450.0000,101339
553319818,visit badges,2016-09-20 12:49:54.000000,2CNDL73F256014431,Used,2005,Chevrolet,Equinox,7450.0000,101339
553319818,visit features,2016-09-20 12:50:17.000000,2CNDL73F256014431,Used,2005,Chevrolet,Equinox,7450.0000,101339
553320461,show badge detail,2016-09-20 17:51:48.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit badges,2016-09-20 17:52:44.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit badges,2016-09-20 17:52:05.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit features,2016-09-20 17:52:12.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit badges,2016-09-20 17:52:09.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit features,2016-09-20 17:52:12.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit market report,2016-09-20 17:51:48.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit badges,2016-09-20 17:51:52.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,display alternatives,2016-09-20 17:51:48.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit badges,2016-09-20 17:52:22.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit badges,2016-09-20 17:52:21.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit badges,2016-09-20 17:52:21.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
553320461,visit badges,2016-09-20 17:52:51.000000,JTEZU11F570006516,Used,2007,Toyota,FJ Cruiser,16995.0000,93313
